source_image,gt_regime,pred_regime,D_i,P_i,S_i,E_i
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PET_PET-B-2-5000X.png,NANOPLASTIC,,False,False,,False
PE_PE 1000-1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000-1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000-1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000-1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000-1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000-1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000-1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PE_PE 1000-1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,,True,False,,False
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,NANOPLASTIC,True,True,False,False
PE_PE 1000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,,False,False,,False
PE_PE 1000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PE_PE 1000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PE_PE 1000X.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PE_PE 1000X.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,NANOPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,NANOPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,NANOPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PP_PP-1000x1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,MICROPLASTIC,NANOPLASTIC,True,True,False,False
PP_PP-1000x1.png,NANOPLASTIC,,False,False,,False
PP_PP-1000x1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
